id,borough,senior officials,professional occupations,associate prof & tech occupations,administrative and secretarial occupations,skilled trades occupations,leisure and other service occupations,sales and customer service occupations,plant and machine operatives,elementary occupations,IMD
E09000002,Barking and Dagenham,2.1,17.7,10.2,19.9,2.0,17.8,11.8,0.0,17.7,25551.9
E09000003,Barnet,11.0,30.0,15.1,16.5,0,17.3,4.2,0,5.4,13803.4
E09000004,Bexley,10.2,23.0,16.2,15.0,2.7,14.9,6.8,0,10.2,13529.7
E09000005,Brent,8.5,24.5,19.2,11.1,0.0,10.7,6.7,0,17.1,21083.0
E09000006,Bromley,10.0,28.1,16.4,20.9,2.2,10.0,7.5,0.0,4.4,11297.5
E09000007,Camden,9.7,36.0,22.1,6.7,4.2,9.0,4.1,0,4.9,16763.3
E09000008,Croydon,9.6,18.0,16.0,15.9,3.0,15.0,9.3,1.4,10.1,18371.2
E09000009,Ealing,10.2,33.6,15.5,12.5,0.0,12.4,4.3,2.5,9.1,18991.7
E09000010,Enfield,10.5,25.2,11.2,15.2,2.2,13.3,10.4,0.0,11.3,20418.7
E09000011,Greenwich,11.1,27.4,13.5,12.4,2.6,16.7,7.9,0,7.0,20383.8
E09000012,Hackney,5.5,32.1,18.6,11.6,1.6,9.2,8.2,0,12.2,25312.6
E09000013,Hammersmith and Fulham,20.7,28.8,20.5,13.7,2.1,8.0,2.0,0,4.3,18643.5
E09000014,Haringey,11.7,27.0,17.4,9.4,2.5,8.4,7.6,1.2,13.7,21887.6
E09000015,Harrow,9.4,24.7,18.9,17.0,0,12.7,9.1,0.0,5.1,13071.3
E09000016,Havering,7.3,23.7,14.0,22.5,0.0,14.2,9.6,0.0,8.1,14036.0
E09000017,Hillingdon,7.3,19.8,14.7,17.8,0,23.3,8.7,0,6.1,15515.0
E09000018,Hounslow,13.7,18.4,17.2,14.5,0.0,18.5,5.3,0.0,9.5,18652.5
E09000019,Islington,7.9,29.6,27.3,11.7,2.0,10.6,5.2,0,4.7,22490.2
E09000020,Kensington and Chelsea,12.7,23.6,19.7,9.8,0,15.4,7.8,0,8.1,17177.5
E09000021,Kingston upon Thames,13.1,29.8,15.1,14.4,2.7,11.0,7.6,0,5.7,9412.3
E09000022,Lambeth,5.5,29.3,27.4,7.3,2.5,8.5,5.8,0,13.3,21351.4
E09000023,Lewisham,10.6,26.2,15.1,11.3,2.8,14.8,9.7,0,9.2,21959.3
E09000024,Merton,12.1,24.5,17.8,20.4,0.0,11.0,6.5,1.6,5.0,12224.6
E09000025,Newham,6.2,22.3,20.9,7.6,3.1,10.3,4.8,2.3,22.4,24138.7
E09000026,Redbridge,9.2,22.6,14.8,17.1,0,10.4,12.8,0,11.6,15082.6
E09000027,Richmond upon Thames,14.0,33.3,19.4,10.1,0,11.2,7.6,0,2.5,7159.2
E09000028,Southwark,8.6,31.2,20.3,8.7,2.2,12.6,7.4,0,8.3,21247.4
E09000029,Sutton,10.4,22.7,18.1,18.9,1.2,12.6,6.9,0,8.8,11415.3
E09000030,Tower Hamlets,11.4,32.4,17.0,15.8,0,7.8,5.3,0,7.9,22507.1
E09000031,Waltham Forest,6.4,31.7,15.9,14.8,0.0,14.6,5.7,2.0,8.9,21186.6
E09000032,Wandsworth,11.9,36.8,18.0,12.6,0.0,7.8,9.1,0,2.7,14312.2
E09000033,Westminster,18.7,25.2,21.1,13.3,0,9.2,6.6,0,2.5,16573.8